Arachidonic Acid,Bilirrubin,Cholic Acid Glucuronide OR Isomers,Deoxycholic acid OR isomers,Hippuric acid,L-Arginine,L-Leucine,LPC 16:0,LPC 16:1,LPC 17:0,LPC 17:1,LPC 18:0,LPC 18:1,LPC 18:3,LPC 20:2,LPC 20:3,LPC 20:4,LPC 20:5,LPC 22:4,LPC 22:5,LPC 22:6,LPC P-18:1,LPE 18:0,LPE 20:3,LPE 20:4,LPE 20:5,LPE 22:5,LPE 22:6,LPI 16:0,LPI 20:4,PC 16:0-20:5,Retinol,Sphingosine Phosphate
0.0251,0.0869,0.0086,0.6499,0.869,0.2008,0.2828,0.4522,0.0917,0.128,0.1126,0.3629,0.3202,0.0323,0.6764,0.1726,0.0618,0.1474,0.0054,0.1424,0.5999,0.9866,0.6621,0.1975,0.0893,0.2091,0.1996,0.8143,0.1441,0.2091,0.5385,0.6265,0.0359
0.5008,0.186,0.1493,0.3279,0.551,0.1067,0.2138,0.8797,0.2076,0.7398,0.6406,0.7978,0.6874,0.3778,0.5314,0.0336,0.2032,0.319,0.0342,0.3249,0.1988,0.9722,0.4748,0.516,0.4748,0.6703,0.8068,0.5275,0.0447,0.0711,0.5008,0.8939,0.4858
0.62,0.767,0.4534,0.9222,0.2736,0.8327,0.0259,0.3036,0.208,0.1184,0.2966,0.2696,0.0875,0.1971,0.0571,0.0178,0.2709,0.3538,0.0444,0.1575,0.0358,0.1214,0.063,0.1374,0.9382,0.4785,0.7104,0.2567,0.0055,0.1184,0.3477,0.3954,0.4393
0.2823,0.0558,0.0837,0.0016,0.1839,2e-04,0.8206,0.9546,0.5675,0.728,0.6356,0.7109,0.449,0.3098,0.7323,0.2204,0.7801,0.7366,0.4015,0.7366,0.8958,0.8689,0.5559,0.1942,0.4249,0.4455,0.7109,0.9818,0.7583,0.8287,0.3126,0.1222,0.1331
0.9728,0.1448,0.9728,0.0104,0.7195,0.623,0.8035,0.2114,0.7496,0.5833,0.1133,0.1331,0.3448,0.357,0.092,0.0884,0.3632,0.5482,0.2743,0.5559,0.2464,0.3418,0.7067,0.0375,0.3299,0.7583,0.4215,0.0996,0.2931,0.851,0.3694,0.1164,0.3694
0.7886,0.2307,0.4119,0.1476,0.1426,0.4442,0.029,0.4592,0.2982,0.2377,0.0956,0.5056,0.0981,0.6987,0.3063,0.233,0.1476,0.1167,0.2693,0.4119,0.2719,0.233,0.0735,0.383,0.3346,0.182,0.8811,0.589,0.2065,0.1562,0.0631,0.9225,0.1633
0.6356,0.4476,0.3359,0.4935,0.9372,0.66,0.272,0.5606,0.5007,0.458,0.991,0.7957,0.7354,0.553,0.2194,0.0755,0.5606,0.534,0.0402,0.2216,0.1698,0.465,0.2308,0.7783,0.8044,0.5996,0.9417,0.656,0.0139,0.451,0.7827,0.3208,0.2062
0.4434,0.8373,0.2403,0.7078,0.9471,0.4251,0.8774,0.2613,0.8421,0.0632,0.1818,0.1445,0.1223,0.3127,0.1614,0.5897,0.0391,0.256,0.2156,0.1818,0.4658,0.3867,0.275,0.672,0.1674,0.6239,0.8138,0.5361,0.5042,0.256,0.6067,0.5771,0.3438
0.3799,0.0405,0.1633,0.0038,0.899,0.3654,0.3059,0.2744,0.4285,0.3736,0.1459,0.2023,0.0613,0.0969,0.2354,0.0775,0.0458,0.1284,0.0956,0.3989,0.2643,0.3231,0.2593,0.0392,0.0631,0.3036,0.2901,0.141,0.0969,0.0399,0.1346,0.1139,0.6409
0.0745,0.0284,0.0078,6e-04,0.0969,0.0131,0.6994,0.2796,0.0539,0.5466,0.2471,0.3317,0.2744,0.0631,0.5618,0.0539,0.0417,0.0244,0.1167,0.1394,0.141,0.326,0.5929,0.1688,0.0571,0.0981,0.188,0.1181,0.182,0.038,0.1225,0.0323,0.2129
