Arachidonic Acid,Bilirrubin,Cholic Acid Glucuronide OR Isomers,Deoxycholic acid OR isomers,Hippuric acid,L-Arginine,L-Leucine,LPC 16:0,LPC 16:1,LPC 17:0,LPC 17:1,LPC 18:0,LPC 18:1,LPC 18:3,LPC 20:2,LPC 20:3,LPC 20:4,LPC 20:5,LPC 22:4,LPC 22:5,LPC 22:6,LPC P-18:1,LPE 18:0,LPE 20:3,LPE 20:4,LPE 20:5,LPE 22:5,LPE 22:6,LPI 16:0,LPI 20:4,PC 16:0-20:5,Retinol,Sphingosine Phosphate
0.49,-0.38,0.56,-0.11,0.04,0.31,0.26,0.17,0.38,0.34,0.36,0.21,0.23,0.47,0.1,0.31,0.41,0.33,0.58,0.33,0.12,0,0.1,0.29,0.38,0.29,0.29,0.05,0.33,0.29,-0.14,0.12,0.46
0.16,-0.3,0.33,-0.22,0.14,0.38,0.3,-0.04,0.29,0.08,0.11,-0.06,0.09,0.2,0.14,0.47,0.29,0.23,0.46,0.23,0.29,0.01,0.17,0.15,0.17,0.1,0.06,0.15,0.44,0.4,-0.16,0.03,0.16
-0.11,0.07,0.17,0.02,0.25,0.05,0.51,0.24,0.29,0.35,0.24,0.25,0.38,0.29,0.42,0.51,0.25,0.21,0.44,0.32,0.46,0.35,0.41,0.34,0.02,0.16,0.09,0.26,0.58,0.35,-0.22,-0.21,0.18
-0.25,0.42,-0.39,0.64,-0.3,-0.76,0.06,-0.01,-0.13,0.08,-0.11,-0.09,0.17,-0.23,-0.08,-0.28,-0.06,0.08,-0.19,-0.08,-0.03,-0.04,0.14,-0.3,-0.18,0.18,-0.09,0.01,-0.07,-0.05,0.23,-0.37,-0.34
0.01,0.33,-0.01,0.55,0.08,-0.12,0.06,-0.28,-0.07,-0.13,-0.36,-0.34,-0.22,-0.21,-0.38,-0.38,-0.21,-0.14,-0.25,-0.14,-0.26,-0.22,-0.09,-0.46,-0.22,-0.07,-0.19,-0.37,-0.24,-0.04,0.21,-0.37,0.21
0.06,-0.27,0.19,-0.33,0.33,0.19,0.51,0.17,0.24,0.27,0.37,0.15,0.37,0.09,0.23,0.27,0.33,0.35,0.25,0.19,0.25,0.27,0.4,0.2,0.22,0.3,-0.04,0.12,0.29,0.32,-0.41,-0.02,0.32
0.11,0.18,0.22,-0.16,-0.02,0.11,0.27,0.13,0.16,0.17,0,0.06,0.08,0.14,0.28,0.4,0.13,0.14,0.45,0.28,0.31,0.17,0.27,0.07,-0.06,0.12,0.02,0.1,0.53,0.17,-0.06,0.24,0.29
0.18,-0.05,0.27,-0.09,0.02,-0.19,0.04,0.26,-0.05,0.41,0.3,0.33,0.35,0.23,0.32,0.12,0.45,0.26,0.28,0.3,0.17,0.2,0.25,0.1,0.31,0.11,0.05,0.14,0.15,0.26,-0.12,-0.14,0.22
0.2,-0.45,0.32,-0.61,0.03,0.22,0.25,0.25,0.18,0.2,0.33,0.29,0.42,0.37,0.27,0.39,0.44,0.34,0.37,0.19,0.25,0.23,0.26,0.46,0.41,0.24,0.24,0.33,0.37,0.45,-0.34,0.38,0.11
-0.4,0.48,-0.57,0.7,-0.37,-0.56,-0.09,-0.25,-0.43,-0.14,-0.26,-0.22,-0.25,-0.41,-0.13,-0.43,-0.45,-0.49,-0.35,-0.33,-0.33,-0.22,-0.12,-0.31,-0.42,-0.37,-0.3,-0.35,-0.3,-0.46,0.35,-0.5,-0.28
0.28,-0.06,0.04,-0.25,-0.21,0.03,0.25,0.13,-0.02,0.13,0.26,0.27,0.14,0.18,0.39,0.25,0.18,0,0.42,0.24,0.06,0.09,0.14,0.31,0.19,-0.09,0.21,-0.02,0.22,0.15,-0.11,0.08,0.23
0.22,-0.36,0.23,-0.54,0.33,0.15,0.53,0.4,0.29,0.37,0.33,0.29,0.42,0.3,0.13,0.18,0.42,0.44,0.24,0.31,0.19,0.25,0.19,0.29,0.41,0.49,0.19,0.24,0.23,0.16,-0.18,0.25,0.36
0.15,-0.48,0.22,0,0.11,0.13,0.15,-0.21,0.06,0.15,0.32,-0.02,0.04,0.03,0.1,0.14,0.13,-0.01,0.16,-0.09,-0.13,-0.11,0.13,0.1,0,-0.13,-0.11,-0.25,0.12,0.15,-0.01,-0.42,0.19
0.16,0.1,-0.04,0.36,-0.14,-0.11,-0.22,0.07,-0.05,-0.07,-0.07,0.06,-0.21,0.06,-0.22,-0.29,-0.22,-0.12,-0.29,-0.05,-0.18,-0.16,-0.26,-0.19,-0.12,-0.03,-0.16,-0.05,-0.4,-0.26,0.07,-0.2,0.09
-0.38,0.55,-0.34,0.29,-0.48,-0.38,-0.33,-0.38,-0.56,-0.5,-0.65,-0.52,-0.59,-0.48,-0.42,-0.61,-0.52,-0.48,-0.5,-0.44,-0.42,-0.54,-0.47,-0.52,-0.48,-0.38,-0.6,-0.34,-0.41,-0.48,0.57,-0.12,-0.38
-0.07,0.68,-0.29,0.37,-0.46,-0.33,0.07,0.12,-0.38,-0.04,-0.26,0.05,-0.08,-0.25,-0.02,-0.32,-0.2,-0.18,-0.15,0,-0.11,-0.01,-0.05,-0.24,-0.14,-0.15,-0.08,-0.05,-0.32,-0.19,0.12,-0.07,-0.01
0.5,-0.32,0.33,-0.32,0.16,0.2,0.35,0.11,0.15,0.19,0.3,0.21,0.18,0.24,0.29,0.26,0.32,0.2,0.41,0.27,0.11,0.07,0.23,0.28,0.35,0.1,0.2,0.07,0.24,0.41,-0.22,0.06,0.53
0.09,-0.12,0.06,0.08,-0.16,-0.14,0.18,-0.06,-0.15,0.19,0.2,0.12,0.1,-0.08,0.17,0.05,0.06,0.02,0.19,-0.01,-0.03,0.03,0.28,0.08,-0.02,-0.14,0.05,-0.09,0.11,0.14,0.01,-0.21,0.06
0.44,-0.46,0.49,-0.55,0.24,0.23,0.36,0.38,0.38,0.44,0.5,0.42,0.5,0.49,0.47,0.58,0.57,0.54,0.56,0.43,0.46,0.33,0.48,0.45,0.44,0.38,0.21,0.42,0.58,0.66,-0.41,0.24,0.44
-0.22,-0.44,0.22,-0.21,0.45,0.15,0.04,0,0.18,0.27,0.23,-0.03,0.22,0.17,0.11,0.26,0.32,0.21,0.2,0.09,0.27,0.11,0.23,0.15,0.22,0.12,-0.13,0.16,0.39,0.2,-0.16,-0.04,-0.02
0.56,-0.25,0.37,-0.38,0.05,0.36,0.21,0.08,0.11,0.08,0.13,0.08,0.06,0.09,0.08,0.1,0.3,0.22,0.2,0.18,0,-0.02,0.08,0.01,0.31,0.08,0.05,0.01,0,0.34,-0.16,0.15,0.49
0.51,-0.28,0.45,-0.33,0.22,0.17,0.27,0.19,0.16,0.34,0.3,0.34,0.32,0.38,0.28,0.33,0.43,0.32,0.42,0.35,0.15,0.23,0.3,0.27,0.36,0.18,0.35,0.09,0.3,0.5,-0.19,0.04,0.56
0.4,-0.33,0.16,-0.4,0.05,-0.19,0.18,0.1,0.05,0.15,0.32,0.1,0.24,0.06,0.35,0.39,0.46,0.36,0.32,0.14,0.26,0.15,0.39,0.04,0.21,0.2,-0.07,0.1,0.37,0.53,-0.35,0.03,0.27
0.27,-0.42,0.34,-0.08,0.24,0.4,0.32,0.11,0.37,0.41,0.53,0.33,0.2,0.5,0.39,0.54,0.11,0.09,0.48,0.14,0.2,0.1,0.32,0.6,0.05,0.06,0.06,-0.01,0.57,0.39,-0.18,-0.13,0.52
0.19,-0.19,0.11,-0.37,0.21,0.01,0.35,0.16,0.11,0.33,0.35,0.26,0.21,0.3,0.33,0.35,0.44,0.32,0.37,0.24,0.23,0.12,0.26,0.26,0.32,0.25,0.12,0.05,0.39,0.41,-0.23,0.1,0.31
-0.37,0.47,-0.3,0.4,-0.56,-0.51,-0.38,-0.38,-0.62,-0.32,-0.51,-0.37,-0.36,-0.47,-0.12,-0.34,-0.31,-0.54,-0.29,-0.4,-0.29,-0.3,-0.15,-0.43,-0.41,-0.59,-0.39,-0.24,-0.21,-0.26,0.39,-0.23,-0.44
-0.13,0.3,-0.29,0.26,-0.07,-0.11,-0.02,-0.09,-0.28,-0.07,-0.12,-0.07,-0.07,-0.15,0.05,-0.12,-0.26,-0.2,-0.37,-0.17,-0.03,0.07,0.13,-0.21,-0.41,-0.17,-0.36,-0.17,-0.13,-0.18,0.05,-0.35,-0.09
0.47,-0.45,0.35,-0.34,0.13,0.32,0.09,0.24,0.31,0.35,0.35,0.34,0.21,0.45,0.31,0.52,0.24,0.31,0.31,0.25,0.29,0.18,0.31,0.28,0.14,0.18,0.06,0.21,0.44,0.46,-0.19,0.11,0.43
-0.36,0.57,-0.3,0.17,-0.26,-0.45,0.21,-0.11,-0.34,-0.19,-0.4,-0.21,-0.14,-0.3,0.05,-0.22,-0.2,-0.26,-0.18,-0.19,-0.08,-0.12,0,-0.08,-0.26,-0.22,-0.25,-0.13,-0.13,-0.07,0.21,0.02,-0.21
-0.25,0.44,-0.25,0.09,-0.21,-0.21,-0.04,-0.1,-0.37,-0.18,-0.27,-0.22,-0.16,-0.36,0.3,0.08,-0.11,-0.38,-0.09,-0.18,0.22,-0.01,0.21,-0.11,-0.28,-0.35,-0.42,0.02,-0.11,0.07,0.04,0.01,-0.17
0.56,-0.38,0.35,-0.27,0.2,0.16,0.5,0.2,0.35,0.27,0.41,0.3,0.27,0.54,0.24,0.48,0.43,0.48,0.53,0.3,0.17,0.21,0.34,0.34,0.3,0.4,0.2,0.01,0.38,0.47,-0.34,0.06,0.59
0.54,-0.37,0.25,-0.27,0.16,0.09,0.46,0.16,0.32,0.22,0.44,0.31,0.28,0.47,0.28,0.5,0.31,0.35,0.45,0.23,0.16,0.21,0.36,0.4,0.16,0.26,0.14,0.02,0.44,0.47,-0.28,-0.02,0.49
