miRNA,p-adj. value,log2(FC)
hsa-miR-548j-5p,0.000,7.64
hsa-miR-521,0.045,-7.59
hsa-miR-554,0.012,-6.10
hsa-miR-876-3p,0.016,5.87
hsa-miR-641,0.016,5.31
hsa-miR-509-3p,0.019,4.82
hsa-miR-631,0.033,-4.52
hsa-miR-32-3p,0.024,2.77
hsa-miR-877-5p,0.008,2.11
hsa-miR-1260a,0.001,-2.00
hsa-miR-323a-3p,0.006,1.68
hsa-miR-665,0.001,1.67
hsa-miR-590-3p,0.030,1.64
hsa-miR-31-5p,0.028,-1.62
hsa-miR-671-5p,0.006,-1.53
hsa-miR-33b-5p,0.002,-1.52
hsa-let-7c-5p,0.019,1.37
hsa-let-7f-1-3p,0.022,1.35
hsa-miR-10b-5p,0.001,1.34
hsa-miR-139-3p,0.041,1.31
hsa-miR-628-3p,0.023,1.27
hsa-miR-652-3p,0.038,1.25
hsa-miR-627-5p,0.012,1.24
hsa-miR-136-3p,0.033,1.21
hsa-miR-30d-5p,0.002,1.13
hsa-miR-185-5p,0.000,-1.09
hsa-miR-326,0.005,-1.02
hsa-miR-99b-5p,0.017,0.98
hsa-miR-451a,0.021,-0.97
hsa-miR-145-5p,0.001,-0.93
hsa-miR-126-5p,0.012,0.90
hsa-miR-126-3p,0.027,0.79
hsa-miR-199b-5p,0.029,0.78
hsa-miR-125a-5p,0.009,0.74
hsa-miR-18a-5p,0.006,-0.73
hsa-miR-146b-5p,0.044,-0.67
hsa-miR-505-3p,0.007,-0.53
hsa-miR-23b-3p,0.029,-0.50
hsa-miR-103a-3p,0.032,-0.49
hsa-miR-17-5p,0.043,-0.42
