miRNA,M-1,M-2,M-3,M-4,M-5,M-6,M-7,M-8,M-9,M-10,M-11,S-1,S-2,S-3,S-4,S-5,S-6,S-7,S-8,S-9,S-10
hsa-miR-548j-5p,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.01,0.02,0.02,0.50,1.24,0.00,2.71,1.96,0.83,1.09,0.00,4.69,5.20
hsa-miR-521,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-554,0.00,0.00,0.00,9.29,0.00,1.84,0.00,0.00,14.17,0.16,0.00,0.21,0.08,0.00,0.07,0.07,0.05,0.06,0.12,0.09,0.09
hsa-miR-876-3p,0.04,0.05,0.07,0.03,0.08,0.06,0.06,0.02,0.07,0.11,0.09,0.00,0.00,0.00,5.48,3.27,0.00,0.00,2.15,0.00,0.00
hsa-miR-641,0.03,0.03,0.04,0.02,0.05,0.04,0.04,0.01,0.04,0.07,0.06,0.00,2.14,0.00,2.12,0.00,0.00,0.49,0.00,0.00,0.00
hsa-miR-509-3p,0.12,0.01,0.17,0.12,0.13,0.13,0.04,0.02,0.05,0.08,0.06,2.62,0.16,0.05,7.98,0.07,5.99,3.72,3.22,0.33,0.12
hsa-miR-631,0.53,0.00,7.16,8.27,0.00,20.46,0.00,0.00,0.00,0.34,18.12,0.44,0.70,0.23,0.28,0.32,0.27,0.31,0.20,0.70,0.53
hsa-miR-32-3p,0.00,0.00,0.00,0.01,0.00,0.00,0.16,0.00,0.11,0.35,0.00,0.00,0.00,0.00,1.70,0.72,0.61,0.53,0.00,0.00,0.77
hsa-miR-877-5p,0.79,0.66,0.00,0.45,0.71,0.44,0.19,1.32,0.09,0.03,0.00,1.15,0.01,0.92,2.46,1.93,0.87,0.79,1.43,2.49,8.25
hsa-miR-1260a,1.19,1.70,1.31,2.54,5.11,1.72,2.37,0.58,2.86,2.05,2.67,0.19,0.28,0.00,1.14,0.60,0.62,0.46,1.01,0.21,0.43
hsa-miR-323a-3p,7.33,0.01,0.00,12.51,8.78,0.15,9.48,0.03,12.65,0.09,8.21,0.00,0.00,12.32,9.82,20.93,27.32,11.38,0.00,31.43,19.72
