Metabolite,M-1,M-8,M-9,M-10,M-11,M-2,M-3,M-4,M-5,M-6,M-7,SU-8,SU-1,SU-2,SU-9,SU-3,SU-4,SU-5,SU-6,SU-7,SU-10
Arachidonic Acid,332828.77,709784.87,268770.41,1021614.38,812378.16,269505.34,216819.15,230617.26,443384.39,397032.95,438766.47,331598.42,429799.81,750571.52,1091074.50,689746.08,523815.49,633773.41,718004.29,553117.32,661569.07
Bilirrubin,143484.86,80128.54,141802.11,192221.39,82798.76,76093.00,140573.84,208453.46,80664.08,104503.15,42314.59,48334.36,44954.39,75636.59,36851.14,117149.65,103607.48,84587.86,74313.04,63420.40,26091.47
Cholic Acid Glucuronide OR Isomers,39003.89,76860.55,19081.38,89973.71,39308.37,37331.31,14542.44,26488.62,19621.80,41873.88,29749.06,20380.71,63709.28,90088.63,64967.86,36057.89,48710.51,45663.47,50036.55,46701.37,63808.95
Deoxycholic acid OR isomers,18930.89,38626.19,215641.87,110029.26,50919.95,92076.53,209795.99,67759.17,246537.03,73569.95,80995.82,46977.44,14495.43,73817.42,24199.23,13651.37,47541.12,101607.03,13363.02,27024.19,8741.86
Hippuric acid,18517.07,44009.55,40446.57,202597.62,81596.86,149076.99,72154.24,235459.34,109092.68,139075.30,146189.61,240623.36,264819.01,277457.14,108514.07,243372.26,147289.78,104377.76,140005.08,296680.64,113330.77
L-Arginine,618582.79,596410.10,491335.22,,512615.06,594283.60,330654.00,413234.75,553993.74,,460552.47,497669.71,603921.39,724137.44,627570.65,513139.55,167668.29,463209.01,600157.98,752998.14,626162.85
L-Leucine,868594.79,700837.35,1264113.88,,1519554.64,1161862.70,1149554.79,2279351.83,1781925.15,,1112932.26,1674078.81,1645182.81,1435054.44,2049307.88,1608772.42,2249153.29,1482231.57,1213672.43,2010681.08,1251130.48
LPC 16:0,49293020.87,55666527.57,35490804.01,85953189.37,65290600.29,49245321.60,31483394.03,61726336.65,54438520.62,51262285.57,46741007.15,60314135.41,68965393.91,54417758.95,51668171.85,59916720.67,54021973.22,70932336.35,68628519.76,57100763.23,56572879.12
LPC 16:1,1495680.92,1666580.49,889384.82,3020421.11,2103201.18,1681375.50,528050.82,1922103.18,2324303.70,1801841.12,2084297.72,2383288.39,3685701.28,3189369.29,2917757.66,2359144.34,1732358.79,3102259.54,1692559.38,2455027.67,2018131.55
LPC 17:0,460678.18,586661.80,423874.02,1351640.32,871184.65,693996.33,269657.67,909939.98,576785.16,641502.43,557569.92,1031729.89,770439.77,760840.49,590707.46,534958.60,648866.78,1546829.88,1304430.47,914605.80,858609.65
LPC 17:1,41229.45,69537.57,38891.91,135290.13,95179.29,87763.59,44881.91,106126.76,100203.98,79172.37,121428.14,174166.73,125072.07,94967.54,127673.66,87406.20,78153.08,162383.54,178574.57,145622.92,124455.42
LPC 18:0,13905307.53,23287553.89,12740403.36,38820094.33,26222748.28,22154292.02,10547308.07,30715860.27,22823184.92,15519767.32,19230395.57,27959197.75,27489664.19,21893056.67,25371139.56,23279676.36,17637922.92,36867118.77,33692311.63,29125416.50,25344849.51
LPC 18:1,11192029.13,14727821.79,7275154.75,31375126.89,19039158.42,15081875.74,7153940.23,20258446.61,15438043.56,15817839.28,12240241.64,29532728.86,24808146.12,13058166.48,15833913.27,19157071.02,22248299.34,25895440.95,19559144.15,21852846.15,17306961.25
LPC 18:3,43899.67,237949.90,66127.21,306997.96,226318.95,198677.35,44839.26,275947.75,252763.37,89939.87,205434.71,222519.12,450273.08,253145.05,350619.40,209099.38,192353.16,763416.20,144876.19,412688.19,433646.53
LPC 20:2,241368.14,222402.38,74253.41,602894.10,302323.49,228450.06,70706.19,598861.42,187380.76,540885.75,333636.55,476015.25,280979.00,199485.54,434204.52,392771.09,261122.38,405685.60,666872.69,404778.37,404376.80
LPC 20:3,1385923.52,1728066.89,640078.91,3111606.57,2277968.43,1886478.86,296618.32,2789043.10,1299704.47,3879443.63,1874503.20,3238113.25,2918917.13,2252545.51,4000502.47,2340250.60,1562174.82,2927614.35,2536414.39,3306889.26,3553190.51
LPC 20:4,3826195.34,6076931.28,1908811.73,10426016.96,7499566.48,4979360.56,1866813.34,4729745.13,3450135.49,8374551.70,3790623.55,6296215.38,8936970.71,5137847.05,5513563.14,8490638.33,9451659.57,8544652.34,9663583.78,8373079.71,8780483.39
LPC 20:5,88889.51,315339.75,69019.66,1144269.47,511222.89,162145.78,185264.76,220708.18,196594.88,385652.09,164355.29,661949.23,1190024.14,429238.38,233055.30,1089794.24,765699.58,1420294.24,470082.70,532045.27,426009.88
LPC 22:4,73821.64,131055.31,40037.96,253173.66,193363.81,154690.41,27565.58,194285.84,132163.70,271882.80,96517.11,118225.27,242973.01,164155.23,334870.80,178339.96,181076.64,299208.39,207031.47,204766.12,247120.54
LPC 22:5,64137.16,219940.01,68155.59,857460.91,441517.92,212291.57,64398.69,390577.26,216436.99,381742.32,203050.19,293753.01,675717.54,294570.91,313665.38,538775.17,357548.98,789465.08,400541.47,509583.16,323786.47
LPC 22:6,593962.57,1114329.59,402901.86,3399619.49,1826840.44,792818.61,518149.86,1930886.00,921660.40,3591035.73,955338.16,2319096.69,2645050.45,1321499.68,1380022.59,2444619.76,1612372.82,2580715.15,1923741.24,1935604.89,1843063.31
LPC P-18:1,35636.62,38728.33,20086.37,100100.36,53019.05,42668.26,17830.50,66581.97,21495.90,47504.88,33720.17,68140.05,63875.87,32483.78,42728.41,58615.11,45930.52,50864.63,59846.29,74250.60,40705.73
LPE 18:0,43775.39,48265.39,14738.40,128672.15,82855.56,50812.49,17726.23,106747.83,29868.07,132495.72,57676.63,157973.15,67528.81,47385.70,86532.20,68555.58,114843.05,69326.94,106591.12,121342.24,65627.79
LPE 20:3,93567.26,109471.96,53415.92,138760.92,104056.78,123432.85,21503.60,193893.22,166848.33,108759.86,111422.31,142432.59,176423.99,121776.41,210934.00,115381.76,56712.79,185578.53,133380.24,155219.62,165661.73
LPE 20:4,827672.69,1175295.29,564093.08,1527779.20,1333894.50,1124921.10,481654.98,847113.67,1374389.58,1132115.29,673058.60,1013242.62,1795737.91,1045012.14,1027593.32,1527797.66,1375784.49,1409085.96,1607153.61,1341532.65,1432718.59
LPE 20:5,11865.56,37941.97,16556.27,96090.38,64255.46,25896.26,45433.63,47690.44,58869.59,32911.13,26935.58,78492.62,144847.11,65199.50,38951.06,121388.59,70868.28,186984.86,45381.47,54173.47,58602.88
LPE 22:5,16262.58,54032.04,34428.86,84536.30,65349.92,68246.03,17667.30,60795.87,64808.84,42910.92,32884.30,35060.23,111761.83,51680.05,69853.33,83165.59,56517.77,112103.96,58513.70,65262.95,45664.34
LPE 22:6,518038.32,1094016.70,411847.13,1940593.91,990806.21,591857.65,469743.28,964072.04,948010.50,1335506.11,594023.36,1104578.46,1967703.62,819530.98,750255.87,1500491.27,984776.36,1343624.57,1117219.98,779736.65,1001433.89
LPI 16:0,74573.03,57559.52,19458.07,137661.54,89814.70,76374.01,20757.55,187237.99,46775.77,455690.56,89763.58,168231.85,147333.30,111805.97,193632.07,81988.30,129984.63,185896.05,75548.41,156786.33,177785.62
LPI 20:4,521242.73,747056.65,194530.38,1287467.61,541224.33,538107.88,176303.59,641461.24,545198.70,1166243.21,448349.11,867795.77,712534.95,719943.41,978947.58,1071438.09,1076651.62,807990.92,689700.00,1000620.37,894859.72
PC 16:0-20:5,893030.72,781157.21,3888395.02,331097.39,734881.29,1074045.41,3143994.68,801521.18,678386.73,625636.57,838549.73,638135.74,594349.27,1420093.08,647076.27,614812.19,678672.26,851287.01,618044.93,412409.66,655264.74
Retinol,590562.96,484703.15,190506.71,,513416.55,305062.80,219565.55,312976.66,386239.63,,300897.75,299642.05,617129.28,382417.48,391434.38,564194.68,332684.65,471403.28,397549.50,347484.72,468863.26
