Mature miRNA,Target symbol,Metabolic Group,n groups,n targets
hsa-let-7c-5p,PAFAH2,Sphingosine,3,36
hsa-let-7c-5p,ACER2,Sphingosine,3,36
hsa-let-7c-5p,SGPL1,Sphingosine,3,36
hsa-let-7c-5p,ASAH1,Sphingosine,3,36
hsa-let-7c-5p,CYP2J2,Arachidonic acid,3,36
hsa-let-7c-5p,ACSL1,Arachidonic acid,3,36
hsa-let-7c-5p,ACSL3,Arachidonic acid,3,36
hsa-let-7c-5p,ACSL4,Arachidonic acid,3,36
hsa-let-7c-5p,KDSR,Sphingosine,3,36
hsa-let-7c-5p,UGCG,Sphingosine,3,36
hsa-let-7c-5p,UGT8,Sphingosine,3,36
hsa-let-7c-5p,PRDX6,Lysophospholipids,3,36
hsa-let-7c-5p,LPCAT3,Lysophospholipids,3,36
hsa-let-7c-5p,SLC27A4,Arachidonic acid,3,36
hsa-let-7c-5p,SLC27A2,Arachidonic acid,3,36
hsa-let-7c-5p,ABHD2,Arachidonic acid,3,36
hsa-let-7c-5p,ABHD12,Arachidonic acid,3,36
hsa-let-7c-5p,CERS2,Sphingosine,3,36
hsa-let-7c-5p,ACSL5,Arachidonic acid,3,36
hsa-let-7c-5p,MBOAT7,Lysophospholipids,3,36
hsa-let-7c-5p,CERS4,Sphingosine,3,36
hsa-let-7c-5p,LPCAT1,Lysophospholipids,3,36
hsa-let-7c-5p,SGPP1,Sphingosine,3,36
hsa-let-7c-5p,SLC27A1,Arachidonic acid,3,36
hsa-let-7c-5p,ALOX5,Arachidonic acid,3,36
hsa-let-7c-5p,PLA2G6,Lysophospholipids,3,36
hsa-let-7c-5p,SPHK2,Sphingosine,3,36
hsa-let-7c-5p,LPCAT2,Lysophospholipids,3,36
hsa-let-7c-5p,ABHD6,Arachidonic acid,3,36
hsa-let-7c-5p,SLC27A3,Arachidonic acid,3,36
hsa-let-7c-5p,MBOAT2,Lysophospholipids,3,36
hsa-let-7c-5p,MBOAT2,Lysophospholipids,3,36
hsa-let-7c-5p,CERS5,Sphingosine,3,36
hsa-let-7c-5p,LPCAT4,Lysophospholipids,3,36
hsa-let-7c-5p,LPCAT4,Lysophospholipids,3,36
hsa-let-7c-5p,SGPP2,Sphingosine,3,36
hsa-let-7c-5p,ASAH2,Sphingosine,3,36
hsa-let-7c-5p,GBA1,Sphingosine,3,36
hsa-miR-18a-5p,SGPL1,Sphingosine,3,33
hsa-miR-18a-5p,ASAH1,Sphingosine,3,33
hsa-miR-18a-5p,ACSL1,Arachidonic acid,3,33
hsa-miR-18a-5p,ACSL3,Arachidonic acid,3,33
hsa-miR-18a-5p,ACSL4,Arachidonic acid,3,33
hsa-miR-18a-5p,KDSR,Sphingosine,3,33
hsa-miR-18a-5p,UGCG,Sphingosine,3,33
hsa-miR-18a-5p,UGT8,Sphingosine,3,33
hsa-miR-18a-5p,SPHK1,Sphingosine,3,33
hsa-miR-18a-5p,LPCAT3,Lysophospholipids,3,33
hsa-miR-18a-5p,SLC27A4,Arachidonic acid,3,33
hsa-miR-18a-5p,ABHD2,Arachidonic acid,3,33
hsa-miR-18a-5p,ACSL6,Arachidonic acid,3,33
hsa-miR-18a-5p,CERS2,Sphingosine,3,33
hsa-miR-18a-5p,ACSL5,Arachidonic acid,3,33
hsa-miR-18a-5p,CERK,Sphingosine,3,33
hsa-miR-18a-5p,MBOAT7,Lysophospholipids,3,33
hsa-miR-18a-5p,CERS4,Sphingosine,3,33
hsa-miR-18a-5p,LPCAT1,Lysophospholipids,3,33
hsa-miR-18a-5p,SGPP1,Sphingosine,3,33
hsa-miR-18a-5p,SLC27A1,Arachidonic acid,3,33
hsa-miR-18a-5p,PLA2G6,Lysophospholipids,3,33
hsa-miR-18a-5p,ACER2,Sphingosine,3,33
hsa-miR-18a-5p,NAAA,Sphingosine,3,33
hsa-miR-18a-5p,ALOX15,Arachidonic acid,3,33
hsa-miR-18a-5p,SPHK2,Sphingosine,3,33
hsa-miR-18a-5p,ABHD6,Arachidonic acid,3,33
hsa-miR-18a-5p,SLC27A3,Arachidonic acid,3,33
hsa-miR-18a-5p,MBOAT2,Lysophospholipids,3,33
hsa-miR-18a-5p,MBOAT2,Lysophospholipids,3,33
hsa-miR-18a-5p,LPCAT4,Lysophospholipids,3,33
hsa-miR-18a-5p,LPCAT4,Lysophospholipids,3,33
hsa-miR-18a-5p,SGPP2,Sphingosine,3,33
hsa-miR-18a-5p,ASAH2,Sphingosine,3,33
hsa-miR-18a-5p,GBA1,Sphingosine,3,33
hsa-miR-103a-3p,SGPL1,Sphingosine,3,32
hsa-miR-103a-3p,CYP2J2,Arachidonic acid,3,32
hsa-miR-103a-3p,ACSL1,Arachidonic acid,3,32
hsa-miR-103a-3p,ACSL3,Arachidonic acid,3,32
