mirna,protein,cor_score,pval,adj_pval,de_mirna,de_prot,both_de,is_target
hsa-miR-200b-5p,SDCBP,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1256,APOL1,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1256,IGLV3-25,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-3605-3p,MVP,-0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-5581-3p,ACTB,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-5581-3p,EIF5A,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-5581-3p,PHB2,0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-5581-3p,TLN1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-5581-3p,TRAP1,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-30e-5p,ALDOA,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-30e-5p,CYFIP1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-30e-5p,EHD3,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-30e-5p,F13A1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-30e-5p,FCN3,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-30e-5p,MSN,0.9636,0,0.0182,FALSE,FALSE,FALSE,TRUE
hsa-miR-30e-5p,WASF2,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-92b-3p,OIT3,0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-6738-3p,IDH1,0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-9-3p,FTH1,-0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-3121-3p,C8G,-0.9879,0,0.0011,FALSE,FALSE,FALSE,FALSE
hsa-miR-1278,KLKB1,-0.9394,1e-04,0.0416,TRUE,FALSE,FALSE,FALSE
hsa-miR-29b-3p,MVP,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-29b-2-5p,PRKCA,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,ALDOA,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,ANXA7,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,CCT7,0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,CPNE3,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,F13A1,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,HSPA1A,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,IGHV3-9,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,IGLC2,0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,MSN,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,PODXL,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,RAB7A,-0.9879,0,0.0011,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,RELN,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,STOM,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-664a-5p,WASF2,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1537-3p,CPNE2,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1537-3p,ITGA2,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1537-3p,STX7,0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-1537-3p,TESC,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1537-3p,TTYH3,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-605-3p,CAPN1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-605-3p,FLOT1,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-605-3p,RPL26,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1307-5p,ANXA11,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-548e-3p,SF3B2,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-2110,SLC25A3,-0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-210-3p,VPS37C,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
