Cluster,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
s_m,hsa-let-7c-5p,hsa-let-7c-5p,427,0.4759,2.226,0,0,0,234,tags=44% list=33% signal=74%,GPLD1/ABCB9/NCKAP1/TSPAN9/CALM1/SLC16A1/RDX/LYN/PFN1/CIB1/RAP2B/TRIM28/CMIP/CAPZB/STOM/ROCK2/HIP1R/RAC1/STX4/NAP1L4/EML3/ANXA6/TUBB1/DYNC1I2/GP1BB/ALDOA/DEK/ARPC2/ST8SIA4/ACAN/SLC2A3/PTPRA/WASF2/PKM/RHOT2/VAMP3/CYFIP1/F11R/RAB7A/C1QBP/YWHAH/PSMA3/PSMA4/RTCB/TMBIM1/ANXA11/ILK/RAF1/RHOA/CD9/SRD5A1/ADAM10/CRTAC1/FCER1G/DIAPH1/ANXA5/ITGB3/VCP/DDX21/RAB2A/FNBP4/CD47/F13A1/UGP2/YWHAB/ARF3/HSPA8/TLN1/PGK1/PRKCSH/SLC25A3/PFKP/CD55/SLC44A1/TXNRD1/CD63/TRAP1/ITGB1/LDHB/MYLK/SLC30A1/PAK2/STX7/CPNE3/ANXA7/RPL3/SF3B2/SLC9A2/PHB2/STEAP3/YWHAZ/ATP5F1A/RPL27/VCL/HSP90B1/CD36/MYO18A/CCT8/CD44/ADCY6/RAB11B/MCM6/TPP2/SPN/BSG/IQGAP2/SRC/YWHAG/WDR1/PSMA1/TUBA1B/RPS2/RPL27A/PTPRJ/GPI/PDIA3/COMP/PGD/RPS6/RPL29/YWHAE/CAPZA1/H2BC12/LARP7/MAN1C1/HSP90AA1/CD82/RAB8B/FBL/GNB1/FLNA/HLA-A/ATP6V1A/SLC35A4/ARPC3/PSMA7/SPARCL1/CFL1/HNRNPD/LRPPRC/HADHB/IGF2BP3/TENT4B/CAP1/NRAS/SHROOM3/NONO/RPA1/ACTB/ENO1/ECM1/SLC44A2/CPNE2/CPNE1/SETD1A/CD226/WDR5/PPIA/FLOT1/NACA/IL1RAP/RPL18/PHF6/CORO1C/PARVB/GNAI2/GNAS/PCBP2/EIF5A/ATP1A1/YARS1/SHB/HSP90AB1/GAPDH/GNG5/EIF2A/ANXA2/FLOT2/TFAM/NCAM1/ACADVL/MSN/RPL14/HSPD1/EIF3J/NID1/ULK1/GART
s_m,hsa-miR-92a-3p,hsa-miR-92a-3p,400,0.4712,2.2098,0,0,0,234,tags=45% list=33% signal=70%,ABCB9/NCKAP1/TSPAN9/CALM1/SLC16A1/LYN/PFN1/RAP2B/TRIM28/CMIP/CAPZB/ROCK2/HIP1R/RAC1/SLCO3A1/STX4/NAP1L4/PDCD6/ANXA6/TUBB1/DYNC1I2/ACTA2/ALDOA/DEK/ARPC2/SLC2A3/PTPRA/WASF2/PKM/RHOT2/VAMP3/CYFIP1/F11R/RAB7A/RBM42/YWHAH/PSMA3/PSMA4/RTCB/TMBIM1/ANXA11/ILK/RHOA/CD9/SRD5A1/ADAM10/CRTAC1/PSMA6/DIAPH1/ANXA5/ITGB3/VCP/DDX21/RAB2A/FNBP4/CD47/SHH/F13A1/UGP2/RAP1B/YWHAB/PRKG1/HSPA8/TLN1/PGK1/PRKCSH/SLC25A3/PFKP/CD55/SLC44A1/HSPA1A/PECAM1/TXNRD1/CD63/TRAP1/ITGB1/MYLK/RPL35/SLC30A1/PAK2/RPL9/SUSD1/STX7/CPNE3/ANXA7/RPL3/SF3B2/SLC9A2/PHB2/YWHAQ/STEAP3/YWHAZ/ATP5F1A/RPL27/VCL/HSP90B1/CD36/MYO18A/CCT8/CD44/ADCY6/RAB11B/MCM6/TPP2/BSG/IQGAP2/YWHAG/WDR1/PSMA1/TUBA1B/RPS2/RPL27A/PTPRJ/GPI/PDIA3/PGD/YES1/RPS6/RPL29/YWHAE/CAPZA1/LARP7/MAN1C1/HSP90AA1/CAVIN2/RAB8B/FBL/GNB1/FLNA/ATP6V1A/SLC35A4/ARPC3/PSMA7/SPARCL1/HNRNPD/LRPPRC/HADHB/IGF2BP3/TENT4B/CAP1/NRAS/SHROOM3/NONO/RPA1/ACTB/ENO1/SLC44A2/CPNE2/CPNE1/SETD1A/CD226/PEBP1/WDR5/PPIA/IL1RAP/PHF6/PSMB8/CORO1C/GNAI2/GNAS/PCBP2/EIF5A/ATP1A1/YARS1/SHB/HSP90AB1/GAPDH/GNAZ/GNG5/EIF2A/FLOT2/TFAM/NCAM1/ACADVL/MSN/RPL14/HSPD1/EIF3J/NID1/ULK1/GART
s_m,hsa-let-7a-5p,hsa-let-7a-5p,485,0.4744,2.1918,0,0,0,238,tags=42% list=34% signal=90%,ABCB9/NCKAP1/CD99/TSPAN9/CALM1/SLC16A1/RDX/LYN/ICAM2/PFN1/CIB1/RAP2B/TRIM28/CMIP/CAPZB/STOM/ROCK2/HIP1R/RAC1/SLCO3A1/STX4/NAP1L4/EML3/ANXA6/TUBB1/DYNC1I2/ACTA2/ALDOA/DEK/ARPC2/ST8SIA4/ACAN/SLC2A3/PTPRA/WASF2/PKM/RHOT2/VAMP3/CYFIP1/F11R/RAB7A/C1QBP/YWHAH/PSMA3/PSMA4/RTCB/TMBIM1/S100A8/ANXA11/ILK/RAF1/RHOA/CD9/SRD5A1/ADAM10/CRTAC1/PSMA6/DIAPH1/ANXA5/ITGB3/VCP/DDX21/RAB2A/FNBP4/CD47/SHH/VTI1B/F13A1/UGP2/YWHAB/ARF3/HSPA8/TLN1/PGK1/PRKCSH/SLC25A3/PFKP/CD55/SLC44A1/HSPA1A/PECAM1/TXNRD1/CD63/TRAP1/ITGB1/LDHB/MYLK/RPL35/SLC30A1/PAK2/RPL9/STX7/CPNE3/ANXA7/RPL3/SF3B2/SLC9A2/PHB2/YWHAQ/STEAP3/YWHAZ/ATP5F1A/RPL27/VCL/HSP90B1/CD36/MYO18A/CCT8/CD44/ADCY6/RAB11B/MCM6/TPP2/SPN/BSG/IQGAP2/SRC/YWHAG/WDR1/PSMA1/TUBA1B/RPS2/RPL27A/PTPRJ/GPI/PDIA3/COMP/PGD/YES1/RPS6/RPL29/YWHAE/CAPZA1/H2BC12/LARP7/MAN1C1/HSP90AA1/CAVIN2/CD82/RAB8B/FBL/GNB1/FLNA/HLA-A/ATP6V1A/SLC35A4/ARPC3/PSMA7/SPARCL1/CFL1/HNRNPD/LRPPRC/HADHB/IGF2BP3/TENT4B/CAP1/NRAS/SHROOM3/NONO/RPA1/ACTB/ENO1/ECM1/SLC44A2/CPNE2/CPNE1/SETD1A/CD226/PEBP1/WDR5/PPIA/FLOT1/NACA/IL1RAP/PHF6/CORO1C/PARVB/GNAI2/GNAS/PCBP2/MPIG6B/EIF5A/ATP1A1/YARS1/SHB/HSP90AB1/GAPDH/GNAZ/GNG5/EIF2A/ANXA2/FLOT2/TFAM/NCAM1/ACADVL/MSN/RPL14/HSPD1/EIF3J/NID1/ULK1/GART/FGFR1/RGS19/HNRNPK/RPL13
s_m,hsa-miR-26a-5p,hsa-miR-26a-5p,395,0.4587,2.1447,0,0,0,243,tags=46% list=34% signal=69%,ABCB9/NCKAP1/TSPAN9/CALM1/SLC16A1/RDX/LYN/PFN1/CIB1/RAP2B/TRIM28/CMIP/CAPZB/STOM/ROCK2/RAC1/SLCO3A1/STX4/NAP1L4/DYNC1I2/ACTA2/ALDOA/DEK/ARPC2/ST8SIA4/ACAN/SLC2A3/PTPRA/WASF2/PKM/RHOT2/VAMP3/CYFIP1/F11R/RAB7A/YWHAH/PSMA3/PSMA4/RTCB/TMBIM1/ILK/MYCT1/RHOA/CD9/SRD5A1/ADAM10/FCER1G/DIAPH1/ANXA5/ITGB3/VCP/DDX21/GP9/RAB2A/FNBP4/CD47/SHH/VTI1B/UGP2/RAP1B/YWHAB/ARF3/HSPA8/TLN1/PGK1/PRKCSH/SLC25A3/PFKP/CD55/SLC44A1/PECAM1/TXNRD1/CD63/TRAP1/ITGB1/MYLK/SLC30A1/PAK2/RPL9/SUSD1/STX7/CPNE3/ANXA7/RPL3/SF3B2/SLC9A2/PHB2/YWHAQ/STEAP3/YWHAZ/ATP5F1A/VCL/HSP90B1/CD36/MYO18A/CCT8/CD44/ADCY6/MCM6/TPP2/SPN/IQGAP2/SRC/YWHAG/WDR1/PSMA1/TUBA1B/RPL27A/PTPRJ/GPI/PDIA3/PGD/YES1/RPS6/YWHAE/CAPZA1/LARP7/SPTA1/HSP90AA1/CAVIN2/CD82/RAB8B/GNB1/FLNA/HLA-A/ATP6V1A/SLC35A4/ARPC3/PSMA7/HNRNPD/LRPPRC/HADHB/IGF2BP3/HSPB1/TENT4B/CAP1/NRAS/SHROOM3/NONO/RPA1/ACTB/ENO1/ECM1/SLC44A2/CPNE2/CPNE1/SETD1A/PEBP1/WDR5/PPIA/FLOT1/NACA/IL1RAP/PHF6/PSMB8/CORO1C/GNAI2/PCBP2/EIF5A/ATP1A1/YARS1/SHB/HSP90AB1/GAPDH/GNAZ/GNG5/EIF2A/FLOT2/TFAM/NCAM1/MSN/HSPD1/EIF3J/NID1/ULK1/GART/FGFR1/HNRNPK/RPL13/PRDX1/SPTB/HYOU1/G6PD
s_m,hsa-let-7b-5p,hsa-let-7b-5p,471,0.462,2.1446,0,0,0,237,tags=42% list=33% signal=84%,ABCB9/NCKAP1/CD99/TSPAN9/DDAH2/CALM1/SLC16A1/RDX/LYN/PFN1/CIB1/RAP2B/TRIM28/CMIP/CAPZB/STOM/ROCK2/HIP1R/RAC1/SLCO3A1/STX4/NAP1L4/PDCD6/EML3/ANXA6/DYNC1I2/ACTA2/ALDOA/DEK/ARPC2/ST8SIA4/ACAN/SLC2A3/PTPRA/WASF2/PKM/RHOT2/VAMP3/CYFIP1/F11R/RAB7A/RBM42/C1QBP/YWHAH/PSMA3/PSMA4/RTCB/TMBIM1/ANXA11/ILK/RAF1/RHOA/CD9/SRD5A1/ADAM10/CRTAC1/FCER1G/DIAPH1/ANXA5/ITGB3/VCP/DDX21/RAB2A/FNBP4/CD47/VTI1B/F13A1/UGP2/YWHAB/ARF3/HSPA8/TLN1/PGK1/PRKCSH/SLC25A3/PFKP/SLC44A1/TXNRD1/CD63/TRAP1/ITGB1/LDHB/MYLK/SLC30A1/PAK2/SUSD1/STX7/DCD/CPNE3/ANXA7/RPL3/SF3B2/SLC9A2/PHB2/YWHAQ/STEAP3/YWHAZ/ATP5F1A/RPL27/VCL/HSP90B1/CD36/MYO18A/CCT8/CD44/ADCY6/RAB11B/MCM6/TPP2/SPN/BSG/IQGAP2/SRC/YWHAG/WDR1/PSMA1/TUBA1B/RPS2/RPL27A/PTPRJ/GPI/PDIA3/COMP/PGD/RPS6/YWHAE/CAPZA1/H2BC12/LARP7/MAN1C1/HSP90AA1/CAVIN2/RAB8B/FBL/GNB1/FLNA/HLA-A/ATP6V1A/SLC35A4/ARPC3/PSMA7/SPARCL1/CFL1/HNRNPD/LRPPRC/HADHB/IGF2BP3/HSPB1/TENT4B/CAP1/NRAS/SHROOM3/NONO/RPA1/ACTB/ENO1/ECM1/SLC44A2/CPNE2/CPNE1/SETD1A/CD226/WDR5/PPIA/FLOT1/NACA/IL1RAP/RPL18/PHF6/PSMB8/CORO1C/PARVB/GNAI2/GNAS/PCBP2/EIF5A/ATP1A1/YARS1/SHB/HSP90AB1/GAPDH/GNAZ/GNG5/EIF2A/ANXA2/FLOT2/TFAM/NCAM1/ACADVL/MSN/RPL14/HSPD1/EIF3J/NID1/ULK1/GART/FGFR1/RGS19/HNRNPK
s_m,hsa-miR-423-5p,hsa-miR-423-5p,435,0.4538,2.1239,0,0,0,264,tags=48% list=37% signal=78%,GPLD1/ABCB9/NCKAP1/CD99/TSPAN9/RAB27B/DDAH2/CALM1/SLC16A1/RDX/ICAM2/PFN1/CIB1/RAP2B/TRIM28/CMIP/CAPZB/STOM/ROCK2/HIP1R/RAC1/SLCO3A1/STX4/NAP1L4/PDCD6/EML3/ANXA6/DYNC1I2/GP1BB/ALDOA/ARPC2/ST8SIA4/ACAN/SLC2A3/PTPRA/WASF2/PKM/RHOT2/VAMP3/CYFIP1/F11R/RAB7A/RBM42/YWHAH/PSMA4/RTCB/TMBIM1/ANXA11/ILK/RAF1/RHOA/CD9/ADAM10/CRTAC1/PSMA6/DIAPH1/ITGB3/VCP/DDX21/RAB2A/FNBP4/CD47/SHH/VTI1B/F13A1/YWHAB/ARF3/HSPA8/TLN1/PGK1/PRKCSH/SLC25A3/PFKP/CD55/SLC44A1/ITGA2B/PECAM1/TXNRD1/CD63/TRAP1/LDHB/MYLK/SLC30A1/PAK2/SUSD1/STX7/CPNE3/RPL3/SF3B2/PHB2/YWHAQ/STEAP3/YWHAZ/ATP5F1A/VCL/HSP90B1/MYO18A/CCT8/CD44/ADCY6/RAB11B/MCM6/TPP2/SPN/BSG/IQGAP2/SRC/YWHAG/WDR1/PSMA1/TUBA1B/RPS2/RPL27A/PTPRJ/GPI/PDIA3/PGD/YES1/RPS6/RPL29/YWHAE/CAPZA1/H2BC12/LARP7/HSP90AA1/CAVIN2/CD82/GNB1/FLNA/HLA-A/ATP6V1A/SLC35A4/ARPC3/PSMA7/CFL1/HNRNPD/LRPPRC/HADHB/IGF2BP3/HSPB1/TENT4B/CAP1/NRAS/SHROOM3/NONO/RPA1/ACTB/ENO1/ECM1/SLC44A2/CPNE2/CPNE1/SETD1A/CD226/WDR5/PPIA/FLOT1/IL1RAP/RPL18/PHF6/PSMB8/CORO1C/PARVB/GNAI2/GNAS/PCBP2/EIF5A/ATP1A1/YARS1/SHB/HSP90AB1/GAPDH/GNAZ/EIF2A/ANXA2/FLOT2/TFAM/NCAM1/ACADVL/MSN/RPL14/HSPD1/NID1/ULK1/GART/FGFR1/RGS19/HNRNPK/RPL13/PRDX1/SPTB/HYOU1/G6PD/DDX39A/EEF1A1/GLIPR2/GRPEL1/CHMP6/CS/CORO1A/RPS9/PSMA2/EEF2/PTPRC/VIM/RPL10/RPS5/ITGA6/TOMM34
s_m,hsa-let-7e-5p,hsa-let-7e-5p,446,0.4533,2.1171,0,0,0,244,tags=44% list=34% signal=78%,ABCB9/NCKAP1/TSPAN9/RAB27B/CALM1/SLC16A1/RDX/LYN/ICAM2/PFN1/CIB1/RAP2B/TRIM28/CMIP/CAPZB/ROCK2/HIP1R/RAC1/SLCO3A1/NAP1L4/PDCD6/EML3/ANXA6/DYNC1I2/ACTA2/ALDOA/DEK/ARPC2/ST8SIA4/ACAN/SLC2A3/WASF2/PKM/RHOT2/VAMP3/CYFIP1/F11R/RAB7A/RBM42/C1QBP/YWHAH/RTCB/TMBIM1/S100A8/ANXA11/ILK/RAF1/RHOA/CD9/SRD5A1/ADAM10/CRTAC1/PSMA6/DIAPH1/ANXA5/ITGB3/VCP/DDX21/RAB2A/FNBP4/CD47/SHH/VTI1B/YWHAB/ARF3/HSPA8/TLN1/PGK1/PRKCSH/SLC25A3/PFKP/SLC44A1/TXNRD1/CD63/TRAP1/ITGB1/LDHB/MYLK/RPL35/SLC30A1/PAK2/SUSD1/STX7/CPNE3/ANXA7/RPL3/SF3B2/SLC9A2/PHB2/YWHAQ/STEAP3/YWHAZ/ATP5F1A/RPL27/VCL/HSP90B1/CD36/MYO18A/CCT8/CD44/ADCY6/RAB11B/MCM6/TPP2/SPN/IQGAP2/SRC/YWHAG/WDR1/PSMA1/TUBA1B/RPS2/RPL27A/PTPRJ/GPI/PDIA3/PGD/YES1/RPS6/RPL29/YWHAE/CAPZA1/H2BC12/MAN1C1/HSP90AA1/CAVIN2/CD82/RAB8B/FBL/GNB1/FLNA/HLA-A/ATP6V1A/SLC35A4/ARPC3/PSMA7/CFL1/HNRNPD/LRPPRC/HADHB/IGF2BP3/HSPB1/TENT4B/CAP1/NRAS/SHROOM3/NONO/RPA1/ACTB/ENO1/ECM1/SLC44A2/CPNE2/CPNE1/SETD1A/PEBP1/WDR5/PPIA/FLOT1/NACA/IL1RAP/RPL18/PHF6/CORO1C/PARVB/GNAS/PCBP2/MPIG6B/EIF5A/ATP1A1/YARS1/SHB/HSP90AB1/GAPDH/GNAZ/GNG5/EIF2A/ANXA2/FLOT2/TFAM/NCAM1/ACADVL/MSN/RPL14/HSPD1/EIF3J/NID1/ULK1/GART/FGFR1/HNRNPK/RPL13/PRDX1/SPTB/HYOU1/G6PD/DDX39A
s_m,hsa-let-7f-5p,hsa-let-7f-5p,428,0.4458,2.086,0,0,0,234,tags=43% list=33% signal=72%,ABCB9/NCKAP1/TSPAN9/CALM1/SLC16A1/RDX/LYN/PFN1/CIB1/RAP2B/TRIM28/CMIP/CAPZB/ROCK2/HIP1R/RAC1/SLCO3A1/NAP1L4/EML3/ANXA6/TUBB1/DYNC1I2/ACTA2/ALDOA/DEK/ARPC2/ST8SIA4/ACAN/SLC2A3/PTPRA/WASF2/RHOT2/VAMP3/CYFIP1/F11R/RAB7A/C1QBP/YWHAH/PSMA3/PSMA4/RTCB/TMBIM1/S100A8/ANXA11/ILK/RAF1/RHOA/SRD5A1/ADAM10/CRTAC1/DIAPH1/ANXA5/ITGB3/VCP/DDX21/RAB2A/FNBP4/CD47/SHH/VTI1B/UGP2/YWHAB/ARF3/HSPA8/TLN1/PGK1/PRKCSH/SLC25A3/PFKP/CD55/SLC44A1/PECAM1/TXNRD1/CD63/TRAP1/ITGB1/LDHB/MYLK/SLC30A1/PAK2/SUSD1/STX7/CPNE3/ANXA7/RPL3/SF3B2/SLC9A2/PHB2/YWHAQ/STEAP3/YWHAZ/ATP5F1A/RPL27/VCL/HSP90B1/CD36/MYO18A/CCT8/CD44/ADCY6/RAB11B/MCM6/TPP2/BSG/IQGAP2/SRC/YWHAG/WDR1/PSMA1/TUBA1B/RPS2/RPL27A/PTPRJ/GPI/PDIA3/PGD/YES1/RPS6/RPL29/YWHAE/CAPZA1/H2BC12/MAN1C1/HSP90AA1/CD82/RAB8B/FBL/GNB1/FLNA/HLA-A/ATP6V1A/SLC35A4/ARPC3/PSMA7/CFL1/HNRNPD/LRPPRC/HADHB/IGF2BP3/CAP1/NRAS/SHROOM3/NONO/ACTB/ENO1/ECM1/SLC44A2/CPNE2/CPNE1/SETD1A/CD226/WDR5/PPIA/FLOT1/NACA/IL1RAP/RPL18/PHF6/CORO1C/PARVB/GNAI2/GNAS/PCBP2/EIF5A/ATP1A1/YARS1/SHB/HSP90AB1/GAPDH/GNAZ/GNG5/EIF2A/TFAM/NCAM1/ACADVL/MSN/RPL14/HSPD1/EIF3J/NID1/ULK1/GART
s_m,hsa-miR-17-5p,hsa-miR-17-5p,424,0.4376,2.0494,0,0,0,244,tags=45% list=34% signal=73%,ABCB9/NCKAP1/CD99/TSPAN9/CALM1/SLC16A1/RDX/LYN/RAP2B/TRIM28/CMIP/CAPZB/STOM/ROCK2/HIP1R/RAC1/SLCO3A1/STX4/NAP1L4/PDCD6/ANXA6/DYNC1I2/ACTA2/ALDOA/DEK/ARPC2/ST8SIA4/ACAN/SLC2A3/PTPRA/WASF2/PKM/VAMP3/CYFIP1/F11R/RAB7A/RBM42/C1QBP/YWHAH/PSMA4/RTCB/TMBIM1/ANXA11/ILK/RAF1/MYCT1/RHOA/TGFB1/CD9/SRD5A1/ADAM10/CRTAC1/DIAPH1/ANXA5/ITGB3/VCP/DDX21/RAB2A/FNBP4/CD47/SHH/VTI1B/F13A1/UGP2/RAP1B/YWHAB/ARF3/HSPA8/TLN1/PGK1/SLC25A3/PFKP/CD55/SLC44A1/HSPA1A/PECAM1/TXNRD1/TRAP1/ITGB1/MYLK/SLC30A1/PAK2/SUSD1/STX7/CPNE3/ANXA7/SF3B2/SLC9A2/YWHAQ/STEAP3/YWHAZ/ATP5F1A/RPL27/VCL/HSP90B1/CD36/MYO18A/CCT8/CD44/ADCY6/RAB11B/MCM6/TPP2/SPN/BSG/IQGAP2/SRC/YWHAG/WDR1/PSMA1/TUBA1B/RPL27A/PTPRJ/GPI/PDIA3/YES1/RPS6/YWHAE/CAPZA1/H2BC12/LARP7/MAN1C1/HSP90AA1/CAVIN2/CD82/RAB8B/FBL/GNB1/FLNA/ATP6V1A/SLC35A4/ARPC3/PSMA7/SPARCL1/HNRNPD/LRPPRC/HADHB/IGF2BP3/TENT4B/CAP1/NRAS/SHROOM3/NONO/RPL7/RPA1/ACTB/ENO1/SLC44A2/CPNE2/CPNE1/SETD1A/CD226/PEBP1/WDR5/PPIA/IL1RAP/PHF6/CORO1C/PARVB/GNAI2/GNAS/PCBP2/EIF5A/ATP1A1/YARS1/SHB/HSP90AB1/GAPDH/GNAZ/ANXA2/FLOT2/TFAM/NCAM1/ACADVL/MSN/RPL14/HSPD1/EIF3J/NID1/ULK1/GART/FGFR1/HNRNPK/RPL13/PRDX1/SPTB/HYOU1/G6PD/DDX39A
s_m,hsa-miR-16-5p,hsa-miR-16-5p,431,0.4294,2.008,0,0,0,239,tags=42% list=34% signal=71%,ABCB9/NCKAP1/CD99/TSPAN9/RAB27B/DDAH2/CALM1/SLC16A1/RDX/LYN/PFN1/CIB1/RAP2B/TRIM28/CMIP/CAPZB/STOM/ROCK2/HIP1R/RAC1/SLCO3A1/STX4/NAP1L4/PDCD6/EML3/ANXA6/GP1BB/ALDOA/DEK/ARPC2/SLC2A3/PTPRA/WASF2/PKM/RHOT2/VAMP3/CYFIP1/F11R/RAB7A/RBM42/YWHAH/PSMA3/RTCB/TMBIM1/ANXA11/ILK/RAF1/RHOA/TGFB1/CD9/SRD5A1/ADAM10/DIAPH1/ANXA5/VCP/DDX21/RAB2A/FNBP4/CD47/SHH/VTI1B/UGP2/YWHAB/PRKG1/ARF3/HSPA8/TLN1/PGK1/PRKCSH/SLC25A3/PFKP/CD55/SLC44A1/HSPA1A/PECAM1/TXNRD1/CD63/TRAP1/ITGB1/LDHB/MYLK/RPL35/SLC30A1/PAK2/RPL9/SUSD1/STX7/CPNE3/ANXA7/RPL3/SF3B2/SLC9A2/PHB2/YWHAQ/STEAP3/YWHAZ/ATP5F1A/VCL/HSP90B1/CD36/MYO18A/CCT8/CD44/ADCY6/RAB11B/MCM6/TPP2/BSG/IQGAP2/YWHAG/WDR1/PSMA1/TUBA1B/RPS2/RPL27A/PTPRJ/GPI/PDIA3/PGD/YES1/RPS6/YWHAE/CAPZA1/H2BC12/HSP90AA1/CAVIN2/CD82/RAB8B/GNB1/FLNA/ATP6V1A/SLC35A4/PSMA7/SPARCL1/CFL1/LRPPRC/HADHB/IGF2BP3/HSPB1/TENT4B/CAP1/NRAS/SHROOM3/NONO/RPA1/ACTB/ECM1/SLC44A2/CPNE1/SETD1A/PEBP1/WDR5/FLOT1/NACA/IL1RAP/CORO1C/PARVB/GNAI2/GNAS/PCBP2/EIF5A/ATP1A1/YARS1/SHB/HSP90AB1/GAPDH/GNAZ/GNG5/EIF2A/ANXA2/FLOT2/NCAM1/RPL14/HSPD1/EIF3J/ULK1/GART/FGFR1/RGS19/HNRNPK/RPL13/PRDX1
