Cluster,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
hsa-let-7c-5p,BP,GO:0060368,regulation of Fc receptor mediated stimulatory signaling pathway,4/229,10/20820,0.4,36.3668,11.7969,0,1e-04,1e-04,CD226/CD47/LYN/PTPRJ,4
hsa-let-7c-5p,BP,GO:0034975,protein folding in endoplasmic reticulum,4/229,11/20820,0.3636,33.0607,11.2164,0,1e-04,1e-04,CALR/CANX/HSP90B1/PDIA3,4
hsa-let-7c-5p,BP,GO:2000392,regulation of lamellipodium morphogenesis,4/229,11/20820,0.3636,33.0607,11.2164,0,1e-04,1e-04,CD44/CORO1B/CORO1C/SRC,4
hsa-let-7c-5p,BP,GO:2001046,positive regulation of integrin-mediated signaling pathway,4/229,12/20820,0.3333,30.3057,10.7087,0,1e-04,1e-04,CD63/FLNA/LIMS1/NID1,4
hsa-let-7c-5p,CC,GO:0044292,dendrite terminus,4/229,13/20820,0.3077,27.9745,10.2596,0,2e-04,1e-04,CYFIP1/HSP90AA1/HSP90AB1/SRC,4
hsa-let-7c-5p,MF,GO:0050815,phosphoserine residue binding,3/229,10/20820,0.3,27.2751,8.7643,1e-04,0.0019,0.0013,YWHAB/YWHAE/YWHAZ,3
hsa-let-7c-5p,BP,GO:0071803,positive regulation of podosome assembly,3/229,10/20820,0.3,27.2751,8.7643,1e-04,0.0019,0.0013,MSN/RHOA/SRC,3
hsa-let-7c-5p,BP,GO:1902965,regulation of protein localization to early endosome,3/229,10/20820,0.3,27.2751,8.7643,1e-04,0.0019,0.0013,MSN/RDX/ROCK2,3
hsa-let-7c-5p,BP,GO:1902966,positive regulation of protein localization to early endosome,3/229,10/20820,0.3,27.2751,8.7643,1e-04,0.0019,0.0013,MSN/RDX/ROCK2,3
hsa-let-7c-5p,CC,GO:0001931,uropod,4/229,14/20820,0.2857,25.9763,9.8584,0,3e-04,2e-04,FLOT1/FLOT2/MSN/SPN,4
hsa-let-7c-5p,MF,GO:0005161,platelet-derived growth factor receptor binding,4/229,14/20820,0.2857,25.9763,9.8584,0,3e-04,2e-04,ITGA5/ITGB3/LYN/PTPRJ,4
hsa-let-7c-5p,BP,GO:0072673,lamellipodium morphogenesis,5/229,18/20820,0.2778,25.2547,10.8565,0,0,0,CD44/CORO1B/CORO1C/SRC/WASF2,5
hsa-let-7c-5p,BP,GO:0007191,adenylate cyclase-activating dopamine receptor signaling pathway,3/229,11/20820,0.2727,24.7956,8.3248,2e-04,0.0024,0.0017,ADCY6/GNAS/GNB1,3
hsa-let-7c-5p,MF,GO:0016668,oxidoreductase activity acting on a sulfur group of donors NAD(P) as acceptor,3/229,11/20820,0.2727,24.7956,8.3248,2e-04,0.0024,0.0017,PGK1/TXN/TXNRD1,3
hsa-let-7c-5p,CC,GO:0031209,SCAR complex,3/229,11/20820,0.2727,24.7956,8.3248,2e-04,0.0024,0.0017,CYFIP1/NCKAP1/WASF2,3
hsa-let-7c-5p,CC,GO:0031254,cell trailing edge,4/229,15/20820,0.2667,24.2445,9.4971,0,3e-04,2e-04,FLOT1/FLOT2/MSN/SPN,4
hsa-let-7c-5p,BP,GO:0061621,canonical glycolysis,5/229,19/20820,0.2632,23.9255,10.543,0,0,0,PFKP/ENO1/PGK1/PKM/TPI1,5
hsa-let-7c-5p,BP,GO:0061718,glucose catabolic process to pyruvate,5/229,19/20820,0.2632,23.9255,10.543,0,0,0,PFKP/ENO1/PGK1/PKM/TPI1,5
hsa-let-7c-5p,BP,GO:1902745,positive regulation of lamellipodium organization,9/229,36/20820,0.25,22.7293,13.7607,0,0,0,ARPC2/CORO1B/CORO1C/CYFIP1/HSP90AA1/NCKAP1/RAC1/SRC/WASF2,9
hsa-let-7c-5p,CC,GO:0005839,proteasome core complex,5/229,20/20820,0.25,22.7293,10.2527,0,1e-04,0,PSMA1/PSMA3/PSMA4/PSMA7/PSMB7,5
hsa-let-7c-5p,BP,GO:0072378,blood coagulation fibrin clot formation,4/229,16/20820,0.25,22.7293,9.1694,0,4e-04,3e-04,F13A1/FLNA/GP1BB/ITGB3,4
hsa-let-7c-5p,BP,GO:0031126,sno(s)RNA 3'-end processing,3/229,12/20820,0.25,22.7293,7.9402,3e-04,0.003,0.0021,FBL/LARP7/TENT4B,3
hsa-let-7c-5p,BP,GO:0071394,cellular response to testosterone stimulus,3/229,12/20820,0.25,22.7293,7.9402,3e-04,0.003,0.0021,MSN/ROCK2/SRD5A1,3
hsa-let-7c-5p,BP,GO:1902946,protein localization to early endosome,3/229,12/20820,0.25,22.7293,7.9402,3e-04,0.003,0.0021,MSN/RDX/ROCK2,3
hsa-let-7c-5p,BP,GO:0061620,glycolytic process through glucose-6-phosphate,5/229,21/20820,0.2381,21.6469,9.9828,0,1e-04,1e-04,PFKP/ENO1/PGK1/PKM/TPI1,5
hsa-let-7c-5p,BP,GO:0098885,modification of postsynaptic actin cytoskeleton,4/229,17/20820,0.2353,21.3922,8.8702,0,5e-04,4e-04,CAP1/CYFIP1/PFN1/RHOA,4
hsa-let-7c-5p,BP,GO:0010572,positive regulation of platelet activation,3/229,13/20820,0.2308,20.9809,7.5996,3e-04,0.0037,0.0026,FLNA/GP1BB/PTPRJ,3
hsa-let-7c-5p,MF,GO:0019855,calcium channel inhibitor activity,3/229,13/20820,0.2308,20.9809,7.5996,3e-04,0.0037,0.0026,CALM1/SLC30A1/YWHAE,3
hsa-let-7c-5p,BP,GO:0071801,regulation of podosome assembly,3/229,13/20820,0.2308,20.9809,7.5996,3e-04,0.0037,0.0026,MSN/RHOA/SRC,3
hsa-let-7c-5p,BP,GO:1905668,positive regulation of protein localization to endosome,3/229,13/20820,0.2308,20.9809,7.5996,3e-04,0.0037,0.0026,MSN/RDX/ROCK2,3
hsa-let-7c-5p,MF,GO:0023026,MHC class II protein complex binding,6/229,27/20820,0.2222,20.2038,10.5298,0,0,0,ANXA11/HSP90AA1/HSP90AB1/HSPA8/PKM/YWHAE,6
hsa-let-7c-5p,BP,GO:0010592,positive regulation of lamellipodium assembly,6/229,28/20820,0.2143,19.4822,10.3203,0,0,0,ARPC2/CYFIP1/HSP90AA1/NCKAP1/RAC1/WASF2,6
hsa-let-7c-5p,BP,GO:0001765,membrane raft assembly,3/229,14/20820,0.2143,19.4822,7.2951,4e-04,0.0045,0.0031,ANXA2/FLOT1/ILK,3
hsa-let-7c-5p,BP,GO:0043144,sno(s)RNA processing,3/229,14/20820,0.2143,19.4822,7.2951,4e-04,0.0045,0.0031,FBL/LARP7/TENT4B,3
hsa-let-7c-5p,BP,GO:0051127,positive regulation of actin nucleation,3/229,14/20820,0.2143,19.4822,7.2951,4e-04,0.0045,0.0031,CYFIP1/NCKAP1/WASF2,3
hsa-let-7c-5p,MF,GO:0071933,Arp2/3 complex binding,3/229,14/20820,0.2143,19.4822,7.2951,4e-04,0.0045,0.0031,CORO1B/IQGAP2/WASF2,3
hsa-let-7c-5p,BP,GO:1905666,regulation of protein localization to endosome,3/229,14/20820,0.2143,19.4822,7.2951,4e-04,0.0045,0.0031,MSN/RDX/ROCK2,3
hsa-let-7c-5p,BP,GO:0070527,platelet aggregation,16/229,76/20820,0.2105,19.1404,16.7077,0,0,0,ACTB/CD9/COMP/F11R/FLNA/GNAS/ILK/ITGB3/LYN/PDIA3/PPIA/RAP2B/SYK/TLN1/TUBB1/VCL,16
hsa-let-7c-5p,BP,GO:1900026,positive regulation of substrate adhesion-dependent cell spreading,9/229,43/20820,0.2093,19.0291,12.4804,0,0,0,ARPC2/C1QBP/CALR/CIB1/FLNA/ILK/ITGB3/LIMS1/RAC1,9
hsa-let-7c-5p,CC,GO:0042470,melanosome,23/229,111/20820,0.2072,18.8387,19.8725,0,0,0,ANXA11/ANXA2/ANXA6/ATP1A1/BSG/CANX/CD63/FLOT1/HSP90AA1/HSP90AB1/HSP90B1/HSPA8/ITGB1/ITGB3/PDIA3/PRDX1/RAB2A/RAB7A/RAC1/STOM/YWHAB/YWHAE/YWHAZ,23
hsa-let-7c-5p,CC,GO:0048770,pigment granule,23/229,111/20820,0.2072,18.8387,19.8725,0,0,0,ANXA11/ANXA2/ANXA6/ATP1A1/BSG/CANX/CD63/FLOT1/HSP90AA1/HSP90AB1/HSP90B1/HSPA8/ITGB1/ITGB3/PDIA3/PRDX1/RAB2A/RAB7A/RAC1/STOM/YWHAB/YWHAE/YWHAZ,23
hsa-let-7c-5p,BP,GO:0002431,Fc receptor mediated stimulatory signaling pathway,7/229,34/20820,0.2059,18.7182,10.9039,0,0,0,CD226/CD47/FCER1G/LYN/PTPRJ/SRC/SYK,7
hsa-let-7c-5p,BP,GO:0061615,glycolytic process through fructose-6-phosphate,5/229,25/20820,0.2,18.1834,9.0659,0,2e-04,1e-04,PFKP/ENO1/PGK1/PKM/TPI1,5
hsa-let-7c-5p,BP,GO:0150105,protein localization to cell-cell junction,5/229,25/20820,0.2,18.1834,9.0659,0,2e-04,1e-04,ACTB/F11R/FLNA/PAK2/VCL,5
hsa-let-7c-5p,BP,GO:0072376,protein activation cascade,4/229,20/20820,0.2,18.1834,8.1078,1e-04,9e-04,6e-04,F13A1/FLNA/GP1BB/ITGB3,4
hsa-let-7c-5p,BP,GO:0034333,adherens junction assembly,3/229,15/20820,0.2,18.1834,7.0207,5e-04,0.0053,0.0037,ACTB/PAK2/VCL,3
hsa-let-7c-5p,BP,GO:0045176,apical protein localization,3/229,15/20820,0.2,18.1834,7.0207,5e-04,0.0053,0.0037,ACTB/RDX/SHROOM3,3
hsa-let-7c-5p,CC,GO:0097524,sperm plasma membrane,3/229,15/20820,0.2,18.1834,7.0207,5e-04,0.0053,0.0037,HSP90AA1/HSP90B1/HSPD1,3
hsa-let-7c-5p,CC,GO:0033018,sarcoplasmic reticulum lumen,2/229,10/20820,0.2,18.1834,5.7317,0.0051,0.0305,0.0212,CALR/HSP90B1,2
hsa-let-7c-5p,BP,GO:0036093,germ cell proliferation,2/229,10/20820,0.2,18.1834,5.7317,0.0051,0.0305,0.0212,CIB1/SRC,2
hsa-let-7c-5p,BP,GO:0038060,nitric oxide-cGMP-mediated signaling,2/229,10/20820,0.2,18.1834,5.7317,0.0051,0.0305,0.0212,AGT/CD36,2
hsa-let-7c-5p,BP,GO:0044854,plasma membrane raft assembly,2/229,10/20820,0.2,18.1834,5.7317,0.0051,0.0305,0.0212,FLOT1/ILK,2
hsa-let-7c-5p,CC,GO:0097197,tetraspanin-enriched microdomain,2/229,10/20820,0.2,18.1834,5.7317,0.0051,0.0305,0.0212,ADAM10/TSPAN9,2
hsa-let-7c-5p,MF,GO:0098505,G-rich strand telomeric DNA binding,2/229,10/20820,0.2,18.1834,5.7317,0.0051,0.0305,0.0212,HNRNPA2B1/RPA1,2
hsa-let-7c-5p,BP,GO:1901856,negative regulation of cellular respiration,2/229,10/20820,0.2,18.1834,5.7317,0.0051,0.0305,0.0212,RHOA/TRAP1,2
hsa-let-7c-5p,BP,GO:1904869,regulation of protein localization to Cajal body,2/229,10/20820,0.2,18.1834,5.7317,0.0051,0.0305,0.0212,CCT8/LARP7,2
hsa-let-7c-5p,BP,GO:1904871,positive regulation of protein localization to Cajal body,2/229,10/20820,0.2,18.1834,5.7317,0.0051,0.0305,0.0212,CCT8/LARP7,2
hsa-let-7c-5p,BP,GO:1902743,regulation of lamellipodium organization,10/229,52/20820,0.1923,17.484,12.551,0,0,0,ARPC2/CD44/CORO1B/CORO1C/CYFIP1/HSP90AA1/NCKAP1/RAC1/SRC/WASF2,10
hsa-let-7c-5p,BP,GO:2001044,regulation of integrin-mediated signaling pathway,4/229,21/20820,0.1905,17.3175,7.8895,1e-04,0.0011,8e-04,CD63/FLNA/LIMS1/NID1,4
hsa-let-7c-5p,MF,GO:0005159,insulin-like growth factor receptor binding,3/229,16/20820,0.1875,17.0469,6.7715,7e-04,0.0061,0.0042,GNAS/YWHAG/YWHAH,3
hsa-let-7c-5p,BP,GO:0016074,sno(s)RNA metabolic process,3/229,16/20820,0.1875,17.0469,6.7715,7e-04,0.0061,0.0042,FBL/LARP7/TENT4B,3
hsa-let-7c-5p,BP,GO:0098883,synapse pruning,3/229,16/20820,0.1875,17.0469,6.7715,7e-04,0.0061,0.0042,C1QA/C1QC/ITGB1,3
