Variables,Control,Moderate,Severe,p_value
,Freq,,,
Gender (Male/Female) §,1/2,1/2,0/3,1
Smoking (yes/no) §,0/0,0/0,0/0,-
,Median(IQR),,,
Age (years) ¶,26 (25-33.5),28 (25-39),28 (27.5-34),0.86
Onset age (years) ¶,-,14 (12-14.5),15 (11.5-21),0.66
HB WBC (10^3/uL) ¶,7.01 (6.93-7.2),8.18 (6.62-9.485),7.38 (7.22-9.195),0.56
HB PLT (10^3/uL) ¶,200 (197-277.5),263 (233-298.5),299 (293.5-306),0.67
PRP MPV (fL) ¶,9 (8.9-9.5),8.9 (8.5-8.95),9.3 (9.25-9.65),0.15
PRP PLT (10^3/uL) ¶,1256 (1062.5-1378),1124 (897-1140.5),1366 (1209.5-1378),0.43
