Variables,Control,Mild,Severe,p_value
,Freq,,,
Gender (Male/Female) §,2/2,1/3,0/4,0.71
Smoking (yes/no) §,1/0,1/0,0/0,1
,Median(IQR),,,
Age (years) ¶,30.5 (25.5-35.75),35.5 (33.5-39.5),38 (32.25-43.25),0.53
Onset age (years) ¶,-,14.5 (12.25-18.25),22.5 (18-24),0.77
HB WBC (10^3/uL) ¶,6.35 (5.66-7.1325),6.46 (6.3425-7.6025),6.99 (6.1875-8.475),0.79
HB PLT (10^3/uL) ¶,196.5 (185.75-228.25),286.5 (256.5-316.75),255 (219-297.5),0.2
PRP MPV (fL) ¶,9 (8.7-9.4),9.85 (9.3-10.025),9.5 (8.975-10),0.63
PRP PLT (10^3/uL) ¶,886 (792-980.5),1233.5 (1142.75-1404.25),1069 (966.25-1111),0.12
