Protein,ENTREZID,UniProt ID,log2FC,pval,Adj.pval,Significant,Comparison,n comparisons,All comparisons,Regulatory DEms,Absolute value log2FC
HBD,3045,P02042,-5.74,0,0,TRUE,s_c,2,s_c;s_m,,5.74
WDR5,11091,P61964,5.46,0,0,TRUE,s_c,2,m_c;s_c,hsa-miR-92a-1-5p,5.46
CTSC,1075,P53634,5.16,0,0,TRUE,m_c,2,m_c;s_c,,5.16
IGKV6D-21,28870,A0A0A0MT36,5.13,0,0,TRUE,m_c,2,m_c;s_m,,5.13
IGKV6D-21,28870,A0A0A0MT36,-5.13,0,0,TRUE,s_m,2,m_c;s_m,,5.13
CTSC,1075,P53634,5.09,0,0,TRUE,s_c,2,m_c;s_c,hsa-miR-323a-5p,5.09
DHX15,1665,O43143,4.88,0,0,TRUE,m_c,2,m_c;s_c,hsa-miR-30c-2-3p,4.88
WDR5,11091,P61964,4.82,0,0,TRUE,m_c,2,m_c;s_c,,4.82
HBD,3045,P02042,-4.48,5e-04,0,TRUE,s_m,2,s_c;s_m,,4.48
DHX15,1665,O43143,4.42,0,0,TRUE,s_c,2,m_c;s_c,hsa-miR-92a-1-5p;hsa-miR-30c-2-3p,4.42
IGHV5-10-1,28386,A0A0J9YXX1,-4.03,0.0029,0.0061,TRUE,s_c,1,s_c,,4.03
RBP4,5950,P02753,3.97,0.003,0.0063,TRUE,s_c,1,s_c,,3.97
CFHR1,3078,Q03591,3.44,0,0,TRUE,m_c,1,m_c,,3.44
S100A8,6279,P05109,-3.34,0.0011,0.0222,TRUE,m_c,2,m_c;s_c,,3.34
VDAC1,7416,P21796,3.19,0.0021,0.0042,TRUE,s_c,1,s_c,hsa-miR-30c-2-3p,3.19
PFKM,5213,P08237,3.04,1e-04,0,TRUE,m_c,1,m_c,,3.04
PON3,5446,Q15166,2.91,0.0022,0.0044,TRUE,s_c,1,s_c,,2.91
HABP2,3026,Q14520,2.74,0.0082,0.0292,TRUE,s_c,1,s_c,,2.74
DEFA1,1667,P59665,2.65,0.0042,0.0033,TRUE,s_m,1,s_m,,2.65
RPL10,6134,P27635,2.61,0.002,0.0042,TRUE,s_c,1,s_c,,2.61
DNM1,1759,Q05193,-2.59,0.0039,0.0101,TRUE,s_c,1,s_c,hsa-miR-212-3p;hsa-miR-143-5p;hsa-miR-433-5p,2.59
EIF2A,83939,Q9BY44,2.57,0.0049,0.0144,TRUE,s_c,1,s_c,hsa-miR-92a-1-5p;hsa-miR-143-5p,2.57
GPLD1,2822,P80108,2.54,0.0074,0.0103,TRUE,s_m,1,s_m,,2.54
FNBP4,23360,Q8N3X1,2.52,0.0087,0.0316,TRUE,s_c,1,s_c,hsa-miR-30c-2-3p,2.52
HIP1R,9026,O75146,2.34,0.0011,0.0019,TRUE,s_c,1,s_c,,2.34
CD99,4267,P14209,2.34,0.0149,0.0373,TRUE,s_m,1,s_m,,2.34
DDX24,57062,Q9GZR7,-2.31,0.0014,0.0024,TRUE,s_c,2,s_c;s_m,hsa-miR-744-3p;hsa-miR-30c-2-3p,2.31
HBB,3043,P68871,-2.27,0.0024,0.0051,TRUE,s_c,1,s_c,,2.27
IGKV2-30,28919,P06310,-2.26,0.0064,0.0081,TRUE,s_m,1,s_m,,2.26
HBA1,3039,P69905,-2.24,0.0029,0.0062,TRUE,s_c,1,s_c,,2.24
LRPPRC,10128,P42704,2.24,0.0055,0.0167,TRUE,s_c,1,s_c,hsa-miR-92a-1-5p;hsa-miR-30c-2-3p;hsa-miR-92b-5p,2.24
H1-2,3006,P16403,2.23,0.0044,0.0122,TRUE,s_c,1,s_c,hsa-miR-483-5p,2.23
EIF3H,8667,O15372,2.22,0.0014,0.0026,TRUE,s_c,1,s_c,hsa-miR-30c-2-3p;hsa-miR-548ah-5p,2.22
DDX24,57062,Q9GZR7,-2.19,0.0037,0.0027,TRUE,s_m,2,s_c;s_m,hsa-miR-203a-3p;hsa-miR-193b-3p,2.19
EPPK1,83481,P58107,2.18,0.0028,0.0059,TRUE,s_c,1,s_c,,2.18
PFKP,5214,Q01813,2.16,0.0098,0.037,TRUE,s_c,1,s_c,hsa-miR-548ah-5p,2.16
S100A8,6279,P05109,-2.1,0.011,0.0423,TRUE,s_c,2,m_c;s_c,,2.1
FBLN1,2192,P23142,2.06,0.0032,0.007,TRUE,s_c,1,s_c,,2.06
RPL13,6137,P26373,2.02,0.0072,0.0246,TRUE,s_c,1,s_c,,2.02
SRRM1,10250,Q8IYB3,2,0.0017,0.0034,TRUE,s_c,1,s_c,hsa-miR-30c-2-3p,2
