SYMBOL,ENTREZID,UniProt Entry,Ocurrence
CD14,929,P08571,15
IL10,3586,P22301,10
MRC1,4360,P22897,10
CD163,9332,Q86VB7,8
IL12A,3592,P29459,8
IL12B,3593,P29460,8
CD68,968,P34810,7
FCGR3A,2214,P08637,7
IL1B,3553,P01584,6
TLR2,7097,O60603,6
TLR4,7099,O00206,6
TNF,7124,P01375,6
CCL17,6361,Q92583,5
IL6,3569,P05231,5
CCL18,6362,P55774,4
CD86,942,P42081,4
CXCL8,3576,P10145,4
FCER1A,2205,P12319,4
HLA-DRA,3122,P01903,4
IL18,3606,Q14116,4
IL4R,3566,P24394,4
CCL2,6347,P13500,3
CCL3,6348,P10147,3
CCR2,729230,P41597,3
CD1D,912,P15813,3
CD36,948,P16671,3
CD80,941,P33681,3
FCER2,2208,P06734,3
IL13,3596,P35225,3
IL1R2,7850,P27930,3
IL4,3565,P05112,3
ITGAM,3684,P11215,3
MS4A2,2206,Q01362,3
TNFRSF1A,7132,P19438,3
TNFRSF1B,7133,P20333,3
ACP5,54,P13686,2
ACTB,60,P60709,2
ADORA2A,135,P29274,2
AIF1,199,P55008,2
ALOX5AP,241,P20292,2
APOBEC3A,200315,P31941,2
ARG1,383,P05089,2
B2M,567,P61769,2
C1QB,713,P02746,2
C1QC,714,P02747,2
CCL13,6357,Q99616,2
CCL26,10344,Q9Y258,2
CCL4,6351,P13236,2
CD33,945,P20138,2
CD63,967,P08962,2
CD69,969,Q07108,2
CD9,928,P21926,2
CDA,978,P32320,2
CHI3L1,1116,P36222,2
CHST15,51363,Q7LFX5,2
CLEC7A,64581,Q9BXN2,2
CMIP,80790,Q8IY22,2
COTL1,23406,Q14019,2
CSF1R,1436,P07333,2
CSTA,1475,P01040,2
CXCR4,7852,P61073,2
F2RL1,2150,P55085,2
FASLG,356,P48023,2
FCGR1A,2209,P12314,2
FCN1,2219,O00602,2
FPR1,2357,P21462,2
GPR183,1880,P32249,2
HDAC1,3065,Q13547,2
HRH2,3274,P25021,2
HSPA5,3309,P11021,2
IFI6,2537,P09912,2
IFNG,3458,P01579,2
IFNL2,282616,Q8IZJ0,2
IL10RA,3587,Q13651,2
IL18R1,8809,Q13478,2
IL1R1,3554,P14778,2
IL33,90865,O95760,2
IL3RA,3563,P26951,2
IL5,3567,P05113,2
ITM2B,9445,Q9Y287,2
LGALS3,3958,P17931,2
LILRA2,11027,Q8N149,2
MAPK1,5594,P28482,2
MMP9,4318,P14780,2
MNDA,4332,P41218,2
MS4A6A,64231,Q9H2W1,2
NFE2,4778,Q16621,2
NOS2,4843,P35228,2
PI3,5266,P19957,2
PPARG,5468,P37231,2
PPBP,5473,P02775,2
S100A12,6283,P80511,2
S100A8,6279,P05109,2
S100A9,6280,P06702,2
SELL,6402,P14151,2
SLPI,6590,P03973,2
STAT1,6772,P42224,2
TGFB1,7040,P01137,2
TLR7,51284,Q9NYK1,2
TNFSF10,8743,P50591,2
TNFSF14,8740,O43557,2
ZBTB16,7704,Q05516,2
ABI3,51225,Q9P2A4,1
ACTG1,71,P63261,1
ADAM8,101,P78325,1
ADAMDEC1,27299,O15204,1
ADAR,103,P55265,1
ADGRE1,2015,Q14246,1
ADGRE3,84658,Q9BY15,1
ADGRG1,9289,Q9Y653,1
ADGRG3,222487,Q86Y34,1
ADORA2B,136,P29275,1
ADORA3,140,P0DMS8,1
AGR2,10551,O95994,1
AK5,26289,Q9Y6K8,1
ANGPTL4,51129,Q9BY76,1
ANXA1,301,P04083,1
AP1S2,8905,P56377,1
APOBR,55911,Q0VD83,1
AQP9,366,O43315,1
ARAP3,64411,Q8WWN8,1
ASB2,51676,Q96Q27,1
ASGR1,432,P07306,1
ASGR2,433,P07307,1
ASPRV1,151516,Q53RT3,1
ATF4,468,P18848,1
ATG4B,23192,Q9Y4P1,1
ATG5,9474,Q9H1Y0,1
ATG7,10533,O95352,1
ATP2A2,488,P16615,1
ATP5MJ,9556,P56378,1
B3GNT8,374907,Q7Z7M8,1
BHLHE41,79365,Q9C0J9,1
BMAL1,406,O00327,1
BMP6,654,P22004,1
BPIFB1,92747,Q8TDL5,1
BST1,683,Q10588,1
BTNL8,79908,Q6UX41,1
C15orf48,84419,Q9C002,1
C1orf162,128346,Q8NEQ5,1
C1QA,712,P02745,1
C5AR1,728,P21730,1
CACNG6,59285,Q9BXT2,1
CALM2,805,P0DP24,1
CCDC102B,79839,Q68D86,1
CCL11,6356,P51671,1
CCL22,6367,O00626,1
CCL23,6368,P55773,1
CCL7,6354,P80098,1
CCNI,10983,Q14094,1
CCR3,1232,P51677,1
CCR6,1235,P51684,1
CCR7,1236,P32248,1
CD151,977,P48509,1
