Sample,Left gene,Left chromosome,Left coordinates,Right gene,Right chromosome,Right coordinates,Spanning reads,Spanning mate pairs
M1,ITGA6,chr2,172495374,AC093818.1,chr2,172512517,6,47
S1,ITGA6,chr2,172495374,AC093818.1,chr2,172512517,3,25
M2,ITGA6,chr2,172495374,AC093818.1,chr2,172512517,3,15
M3,LOC408186,chr12,9564159,KLRB1,chr12,9606455,5,3
M1,KLRB1,chr12,9606352,LOC374443,chr12,9617350,5,33
S2,KLRB1,chr12,9606352,LOC374443,chr12,9617350,23,33
S1,KLRB1,chr12,9606352,LOC374443,chr12,9617350,31,80
S3,KLRB1,chr12,9606352,LOC374443,chr12,9617350,6,21
M2,KLRB1,chr12,9606352,LOC374443,chr12,9617350,10,64
M3,KLRB1,chr12,9606352,LOC374443,chr12,9617350,19,87
C2,KLRB1,chr12,9606352,LOC374443,chr12,9617350,15,74
S1,AK6,chr5,69355645,TAF9,chr5,69366591,49,19
M1,AK6,chr5,69355648,TAF9,chr5,69366594,9,7
S2,AK6,chr5,69355648,TAF9,chr5,69366594,35,96
S3,AK6,chr5,69355648,TAF9,chr5,69366594,11,2
M2,AK6,chr5,69355648,TAF9,chr5,69366594,3,9
M3,AK6,chr5,69355648,TAF9,chr5,69366594,7,12
C2,AK6,chr5,69355648,TAF9,chr5,69366594,3,7
S1,TTC33,chr5,40728344,PRKAA1,chr5,40771862,4,7
S3,TTC33,chr5,40728344,PRKAA1,chr5,40771862,3,7
M3,TTC33,chr5,40728344,PRKAA1,chr5,40771862,3,4
S2,TTC33,chr5,40746797,PRKAA1,chr5,40771862,5,4
S1,TTC33,chr5,40746797,PRKAA1,chr5,40771862,19,12
S1,TTC33,chr5,40746797,PRKAA1,chr5,40775502,8,12
S3,TTC33,chr5,40746797,PRKAA1,chr5,40771862,6,9
M2,TTC33,chr5,40746797,PRKAA1,chr5,40771862,4,7
M2,TTC33,chr5,40746797,PRKAA1,chr5,40777585,3,7
M3,TTC33,chr5,40746797,PRKAA1,chr5,40771862,7,8
M3,TTC33,chr5,40746797,PRKAA1,chr5,40777585,5,8
C2,TTC33,chr5,40746797,PRKAA1,chr5,40771862,13,25
C2,TTC33,chr5,40746797,PRKAA1,chr5,40775502,6,25
S2,LYPLAL1,chr1,219179245,LYPLAL1-DT,chr1,219086659,5,4
S1,LYPLAL1,chr1,219179245,LYPLAL1-DT,chr1,219086659,3,3
M1,ARMC8,chr3,138237308,NME9,chr3,138273115,10,23
M1,ARMC8,chr3,138237308,NME9,chr3,138274543,5,6
S2,ARMC8,chr3,138237308,NME9,chr3,138273115,12,140
S1,ARMC8,chr3,138237308,NME9,chr3,138273115,16,44
S1,ARMC8,chr3,138237308,NME9,chr3,138274543,3,39
S3,ARMC8,chr3,138237308,NME9,chr3,138273115,5,8
M2,ARMC8,chr3,138237308,NME9,chr3,138273115,7,21
M3,ARMC8,chr3,138237308,NME9,chr3,138273115,13,19
C2,ARMC8,chr3,138237308,NME9,chr3,138273115,16,33
C2,ARMC8,chr3,138237308,NME9,chr3,138274543,3,20
S2,ARMC8,chr3,138237481,NME9,chr3,138273115,5,140
S1,ARMC8,chr3,138239467,NME9,chr3,138274543,11,39
S1,ARMC8,chr3,138239467,NME9,chr3,138290638,4,2
S2,ARMC8,chr3,138258954,NME9,chr3,138284525,4,16
S1,ITGB3BP,chr1,63478763,EFCAB7,chr1,63529185,39,9
M2,ITGB3BP,chr1,63478763,EFCAB7,chr1,63529185,5,3
S1,ITGB3BP,chr1,63490082,EFCAB7,chr1,63529185,10,9
M3,ITGB3BP,chr1,63490082,EFCAB7,chr1,63529185,5,2
S1,ITGB3BP,chr1,63508527,EFCAB7,chr1,63529185,15,11
M3,ITGB3BP,chr1,63508527,EFCAB7,chr1,63529185,5,2
C2,ITGB3BP,chr1,63508527,EFCAB7,chr1,63529185,3,2
S1,JKAMP,chr14,59505188,CCDC175,chr14,59538839,9,30
S1,JKAMP,chr14,59505188,CCDC175,chr14,59540745,9,30
S1,JKAMP,chr14,59505188,CCDC175,chr14,59543453,5,33
M3,JKAMP,chr14,59505188,CCDC175,chr14,59538839,8,18
M3,JKAMP,chr14,59505188,CCDC175,chr14,59540745,4,18
C2,JKAMP,chr14,59505188,CCDC175,chr14,59540745,3,48
C2,JKAMP,chr14,59505188,CCDC175,chr14,59565274,8,31
S2,ACSM6,chr10,95225547,PDLIM1,chr10,95247365,12,6
S1,ACSM6,chr10,95225547,PDLIM1,chr10,95247365,28,52
S3,ACSM6,chr10,95225547,PDLIM1,chr10,95247365,6,5
M2,ACSM6,chr10,95225547,PDLIM1,chr10,95247365,7,7
C2,ACSM6,chr10,95225547,PDLIM1,chr10,95247365,4,2
S1,GATAD1,chr7,92457551,PEX1,chr7,92491330,11,73
M1,COMMD10,chr5,116291516,CTC-339F2.2,chr5,116303682,11,8
S2,COMMD10,chr5,116291516,CTC-339F2.2,chr5,116303682,38,19
S1,COMMD10,chr5,116291516,CTC-339F2.2,chr5,116303682,26,12
S3,COMMD10,chr5,116291516,CTC-339F2.2,chr5,116303682,5,9
M2,COMMD10,chr5,116291516,CTC-339F2.2,chr5,116303682,6,10
M3,COMMD10,chr5,116291516,CTC-339F2.2,chr5,116303682,6,13
M2,LYPLAL1-DT,chr1,219086494,LYPLAL1,chr1,219210531,5,4
M1,CAVIN4,chr9,100578547,MSANTD3-TMEFF1,chr9,100576512,7,21
M3,CAVIN4,chr9,100578547,MSANTD3-TMEFF1,chr9,100576512,3,5
S2,CAVIN4,chr9,100578550,MSANTD3-TMEFF1,chr9,100576515,8,127
S1,TUBAL3,chr10,5395326,NET1,chr10,5431547,34,11
S3,TUBAL3,chr10,5395326,NET1,chr10,5431547,16,5
M3,TUBAL3,chr10,5395326,NET1,chr10,5431547,6,5
C2,TUBAL3,chr10,5395326,NET1,chr10,5431547,18,7
S1,TUBAL3,chr10,5400843,NET1,chr10,5431547,6,11
S1,SNX29P1,chr16,21352137,CRYM-AS1,chr16,21315883,24,12
S3,SNX29P1,chr16,21352137,CRYM-AS1,chr16,21315883,5,10
M2,SNX29P1,chr16,21352137,CRYM-AS1,chr16,21315883,16,10
M3,SNX29P1,chr16,21352137,CRYM-AS1,chr16,21315883,9,8
C2,SNX29P1,chr16,21352137,CRYM-AS1,chr16,21315883,25,17
S1,LINC02246,chr21,14853273,NRIP1,chr21,15043573,12,21
